# RADOLAN/RADVOR
# 
# Hoch aufgelöste Niederschlagsanalyse und –vorhersage auf der Basis 
# quantitativer Radar- und Ombrometerdaten für grenzüberschreitende 
# Fluss-Einzugsgebiete von Deutschland im Echtzeitbetrieb
#
# Beschreibung des Kompositformats
#
# Version 2.5.7
#
# https://www.dwd.de/DE/leistungen/radolan/radolan_info/radolan_radvor_op_komposit_format_pdf.pdf;jsessionid=3176F4BFFE62D621EA073161C78C29F1.live11041?__blob=publicationFile&v=23
#
FORTRAN-Bezeichner	Produktkennung	Dateiname	Inhalt
A2	WX	raa01-wx_10000-YYMMD-Dhhmm-dwd---bin (INT=5min)	qualitätskorrigierte Original Radardaten in qualitativen rvp-6-Einheiten, Codierung in 1 Byte, im erweiterten nationalen Ausschnitt
A2	RX	raa01-rx_10000-YYMMDDhhmm-dwd---bin (INT=5min)	Original Radardaten in qualitativen rvp-6-Einheiten, Codierung in 1 Byte
A2	RO	termocl.pix (INT=60min) bzw. raa01-ro_10000-YYMMD-Dhhmm-dwd---bin (INT=5min)	Original Radardaten, mit Standard-Z-R-Beziehung in Niederschlagshöhen umgerechnet
A2	RK	antish.pix (INT=60min) bzw. raa01-rk_10000-YYMMDDhhmm-dwd---bin (INT=5min)	Radardaten nach Abschattungskorrektur, mit Standard-Z-R-Beziehung in Niederschlagshöhen umgerechnet
A2	RZ	raa01-rz_10000-YYMMDDhhmm-dwd---bin (INT=5min)	Radardaten nach Abschattungskorrektur und nach Anwendung der verfeinerten Z-R-Beziehungen in Niederschlagshöhen umgerechnet
A2	RY	raa01-ry_10000-YYMMDDhhmm-dwd---bin (INT=5min)	durch das Qualitätskomposit (QY s. gesonderte Formatbeschreibung in [DWD, 2005b]) korrigierte Radardaten
A2	YW	raa01-yw_10000-YYMMD-Dhhmm-dwd---bin (INT=5min)	quasi-angeeichte Radardaten (Basis: RY, RH und RW)
A2	ZW	raa01-zw_10000-YYMMD-Dhhmm-dwd---bin (INT=10min)	quasi-angeeichte Radardaten (Basis: YW)
A2	RH	trigger.pix (INT=60min; um hh:35) bzw. bestrain.pix (INT=60min; um hh:45) bzw. raa01-rh_10000-YYMMD-Dhhmm-dwd---bin (INT=60min; alle 5 min)	Radardaten nach Abschattungskorrektur und nach Anwendung der verfeinerten Z-R-Beziehungen in Niederschlagshöhen umgerechnet und auf eine Stunde aufsummiert 
A2	RJ	state.trigger.pix (um hh:35) bzw. state.bestrain.pix (um hh:45)	Anzahl am RH beteiligter fünfminütlicher lokaler Radardaten für jedes Pixel (keine Radardaten)
